Image_Index, Avg_Start_Offset, Avg_End_Offset
900, 2.656, 12.245
901, 0.905, 1.014
902, 0.436, 2.505
903, 1.916, 1.348
904, 0.870, 1.831
905, 1.690, 0.668
906, 0.561, 2.360
907, 1.906, 2.491
908, 2.336, 0.435
909, 0.912, 1.542
910, 1.308, 0.589
911, 0.868, 1.201
912, 1.034, 1.086
913, 1.641, 1.743
914, 1.048, 0.622
915, 68.299, 89.375
916, 87.087, 51.974
917, 22.056, 89.756
918, 47.482, 8.669
919, 22.270, 102.048
920, 2.467, 0.998
921, 18.861, 36.223
922, 67.849, 27.744
923, 2.077, 0.925
924, 2.361, 6.500
925, 4.400, 2.787
926, 3.390, 8.940
927, 0.954, 1.421
928, 5.789, 75.041
929, 1.416, 0.742
930, 3.122, 0.655
931, 0.493, 6.108
932, 2.273, 2.843
933, 7.503, 11.004
934, 1.530, 2.830
935, 4.698, 3.860
936, 15.056, 11.545
937, 4.978, 1.269
938, 5.024, 9.086
939, 1.222, 1.506
940, 8.268, 1.797
941, 1.927, 1.599
942, 1.854, 1.087
943, 0.865, 1.471
944, 1.491, 1.107
945, 28.981, 1.099
946, 1.938, 2.439
947, 0.608, 2.006
948, 1.930, 0.810
949, 0.948, 2.087
950, 1.903, 0.691
951, 1.400, 1.521
952, 1.734, 1.422
953, 0.439, 1.814
954, 1.396, 0.443
955, 1.931, 0.605
956, 0.666, 2.179
957, 1.199, 1.434
958, 1.130, 2.108
959, 0.619, 0.531
960, 28.126, 9.992
961, 12.227, 34.585
962, 0.453, 1.039
963, 12.036, 37.254
964, 7.238, 39.100
965, 1.395, 0.601
966, 11.653, 115.001
967, 20.931, 6.829
968, 0.699, 1.113
969, 54.791, 12.182
970, 1.046, 1.430
971, 1.423, 1.401
972, 13.559, 45.177
973, 2.574, 3.163
974, 3.551, 6.894
975, 6.826, 28.061
976, 4.111, 14.077
977, 1.243, 0.757
978, 2.394, 1.003
979, 2.706, 2.654
980, 7.111, 4.698
981, 5.150, 8.307
982, 1.951, 2.358
983, 8.947, 2.833
984, 2.533, 1.856
