Image_Index, Avg_Start_Offset, Avg_End_Offset
589, 23.398, 16.048
590, 11.005, 4.680
591, 10.281, 7.861
592, 12.713, 13.017
593, 42.884, 26.413
594, 1.653, 9.908
595, 4.308, 0.691
596, 9.259, 5.968
597, 21.357, 43.203
598, 24.484, 14.662
599, 1.158, 2.737
600, 1.837, 0.814
601, 1.430, 1.049
602, 73.927, 53.512
603, 89.466, 107.132
604, 6.157, 19.445
605, 1.877, 0.838
606, 1.232, 3.042
607, 3.957, 8.877
608, 23.009, 20.656
609, 64.884, 80.558
610, 18.100, 18.063
611, 3.257, 9.273
612, 8.461, 3.753
613, 3.723, 33.606
614, 37.820, 3.996
615, 4.460, 5.415
616, 7.385, 11.436
617, 15.482, 64.359
618, 77.471, 22.253
619, 10.399, 1.662
620, 14.583, 30.992
621, 14.069, 3.537
622, 11.169, 29.238
623, 7.831, 5.991
624, 12.461, 6.558
625, 10.115, 1.295
626, 0.855, 1.374
627, 1.801, 2.869
628, 9.868, 4.835
629, 14.335, 3.071
630, 13.985, 14.848
631, 19.120, 3.900
632, 3.802, 18.786
633, 52.662, 52.439
634, 11.487, 49.811
635, 14.325, 9.841
636, 6.849, 6.497
637, 10.091, 11.614
638, 30.400, 43.004
639, 24.900, 19.075
640, 1.649, 2.465
641, 29.912, 26.129
642, 1.360, 2.822
643, 101.111, 143.260
644, 9.062, 6.925
645, 81.112, 77.299
646, 66.626, 8.675
647, 26.069, 43.394
648, 18.099, 3.936
649, 42.009, 8.723
650, 9.150, 35.292
651, 6.262, 17.449
652, 30.887, 129.271
653, 123.439, 19.955
654, 2.344, 8.061
655, 4.871, 26.610
656, 18.728, 2.746
657, 5.585, 6.907
658, 5.138, 5.415
659, 10.527, 13.469
660, 5.557, 15.860
661, 28.154, 11.063
662, 0.912, 3.845
663, 30.381, 6.328
664, 5.415, 5.094
665, 28.971, 39.064
666, 17.248, 16.555
667, 23.690, 5.818
668, 1.153, 1.036
669, 5.546, 34.366
670, 28.594, 23.493
671, 23.831, 39.438
672, 1.200, 1.081
673, 2.793, 0.900
674, 0.813, 1.838
675, 1.921, 2.058
676, 2.156, 3.069
677, 1.984, 10.437
678, 0.935, 2.262
679, 5.682, 1.657
680, 96.704, 53.739
681, 121.681, 75.252
682, 29.071, 16.255
683, 112.857, 59.466
684, 50.623, 34.357
685, 18.560, 38.362
686, 8.029, 7.085
687, 1.379, 1.362
688, 1.234, 1.645
689, 4.173, 92.998
690, 87.795, 71.217
691, 65.930, 73.592
692, 5.266, 68.591
693, 35.891, 9.410
694, 68.274, 87.339
695, 47.818, 7.173
696, 2.164, 2.733
697, 23.354, 19.536
698, 72.993, 69.430
699, 92.294, 81.649
700, 8.406, 86.129
701, 9.648, 95.103
702, 61.562, 34.995
703, 63.014, 57.550
704, 14.906, 63.481
705, 27.197, 42.336
706, 44.163, 40.941
707, 16.770, 4.456
708, 1.533, 3.724
709, 88.821, 111.182
710, 68.317, 15.211
711, 3.302, 38.966
712, 5.445, 16.044
713, 6.145, 2.764
714, 3.655, 18.461
715, 30.182, 4.358
716, 30.560, 83.158
717, 113.212, 109.073
718, 4.994, 12.348
719, 31.465, 11.672
720, 1.763, 7.972
721, 26.574, 4.866
722, 4.356, 18.960
723, 12.901, 6.780
724, 55.667, 62.187
725, 51.677, 55.654
726, 55.520, 50.548
727, 131.649, 125.084
728, 55.168, 68.235
729, 53.426, 67.768
730, 74.613, 72.588
731, 1.684, 2.571
732, 36.057, 26.953
733, 8.444, 22.899
734, 13.730, 22.900
735, 6.493, 10.214
736, 48.607, 23.482
737, 8.777, 9.804
738, 6.631, 42.207
739, 6.613, 1.275
740, 3.220, 7.956
741, 8.802, 22.658
742, 15.021, 5.806
743, 5.881, 23.886
744, 4.005, 11.669
745, 10.434, 3.314
746, 3.339, 3.627
747, 37.067, 9.923
748, 2.671, 9.231
749, 4.477, 9.586
750, 11.718, 24.034
751, 12.661, 31.179
752, 20.828, 10.516
753, 12.491, 6.219
754, 9.250, 4.404
755, 8.027, 41.291
756, 18.206, 2.915
757, 5.915, 6.095
758, 24.744, 3.174
759, 8.850, 22.703
760, 21.815, 2.522
761, 9.150, 6.269
762, 7.403, 4.191
763, 12.954, 4.162
764, 1.376, 17.181
765, 8.359, 9.782
766, 1.108, 1.458
767, 12.796, 7.095
